STNAME,CBSAFP,CBSA,POPESTIMATE2019,area_km2,charging_locations,level2,dcfc,charging_locations_per_100kpeople,charging_locations_per_1000km2,level2_per_100kpeople,level2_per_1000km2,dcfc_per_100kpeople,dcfc_per_1000km2
South Dakota,15100,"Brookings, SD",35077,2051.856894,1,2,0,2.8508709410724977,0.4873634233089942,5.7017418821449954,0.9747268466179884,0,0
South Dakota,33580,"Mitchell, SD",19775,1128.284964,1,0,6,5.056890012642225,0.886300918568299,0,0,30.34134007585335,5.3178055114097935
South Dakota,38180,"Pierre, SD",17526,1920.546202,1,3,0,5.705808513066301,0.5206852086966872,17.117425539198905,1.5620556260900615,0,0
South Dakota,39660,"Rapid City, SD",113775,7191.78846,12,19,14,10.547132498352012,1.6685696564551067,16.699626455724015,2.6419019560539185,12.30498791474401,1.9466645991976244
South Dakota,43620,"Sioux Falls, SD",254262,3584.873877,8,22,8,3.14636084039298,2.2315987324761326,8.652492311080696,6.136896514309365,3.14636084039298,2.2315987324761326
South Dakota,43940,"Spearfish, SD",25844,2072.127357,3,4,6,11.608110199659496,1.4477874585582242,15.477480266212662,1.9303832780776322,23.216220399318992,2.8955749171164484
South Dakota,46820,"Vermillion, SD",14070,1067.154439,1,2,0,7.107320540156361,0.9370714897996129,14.214641080312722,1.8741429795992257,0,0
South Dakota,NA,non-CBSA,365491,172892.83496,12,18,20,3.283254580824152,0.06940715618883968,4.924881871236227,0.1041107342832595,5.472090968040253,0.11567859364806611
Tennessee,11940,"Athens, TN",53794,1113.99727,1,1,0,1.8589433765847492,0.8976682680739424,1.8589433765847492,0.8976682680739424,0,0
Tennessee,16860,"Chattanooga, TN-GA",367804,1404.722581,48,102,19,13.050429032854455,34.17044806514718,27.73216169481572,72.61220213843775,5.1657948255048884,13.525802359120757
Tennessee,17300,"Clarksville, TN-KY",208993,1396.430597,8,18,4,3.8278794026594194,5.728891945784255,8.612728655983693,12.890006878014574,1.9139397013297097,2.8644459728921277
Tennessee,17420,"Cleveland, TN",16832,1125.622729,2,4,0,11.88212927756654,1.7767942566127768,23.76425855513308,3.5535885132255536,0,0
Tennessee,18260,"Cookeville, TN",92031,1838.202089,10,19,14,10.865903880214274,5.440098267672027,20.645217372407124,10.33618670857685,15.212265432299986,7.616137574740837
Tennessee,18900,"Crossville, TN",60520,1764.645664,2,4,0,3.304692663582287,1.1333720082175092,6.609385327164574,2.2667440164350183,0,0
Tennessee,20540,"Dyersburg, TN",37159,1326.983955,1,1,0,2.6911380822950024,0.7535886144154622,2.6911380822950024,0.7535886144154622,0,0
Tennessee,24620,"Greeneville, TN",69069,1611.40974,3,4,2,4.34348260435217,1.861723884081773,5.791310139136225,2.4822985121090304,2.8956550695681127,1.2411492560545152
Tennessee,27180,"Jackson, TN",97984,1443.073936,6,7,11,6.123448726322665,4.157791122353137,7.144023514043108,4.850756309411993,11.226322664924885,7.622617057647419
Tennessee,27740,"Johnson City, TN",203649,2211.363898,7,14,0,3.437286704083988,3.165467251378633,6.874573408167976,6.330934502757266,0,0
Tennessee,28700,"Kingsport-Bristol, TN-VA",215134,2332.208436,8,19,8,3.7186125856442964,3.4302251361893283,8.831704890905204,8.146784698449654,3.7186125856442964,3.4302251361893283
Tennessee,28940,"Knoxville, TN",734447,4231.059064,61,123,15,8.305568679564352,14.417194153354888,16.74729422272812,29.070735751846737,2.042352953991234,3.5452116770544806
Tennessee,32280,"Martin, TN",33328,1503.107848,1,1,0,3.00048007681229,0.6652882568144238,3.00048007681229,0.6652882568144238,0,0
Tennessee,32660,"McMinnville, TN",41277,1120.619143,3,3,0,7.26797005596337,2.6770915156497557,7.26797005596337,2.6770915156497557,0,0
Tennessee,32820,"Memphis, TN-MS-AR",937166,1977.610549,33,78,15,3.521254505605197,16.686804192406235,8.32296519506683,39.44153718205111,1.600570229820544,7.584910996548289
Tennessee,34100,"Morristown, TN",119429,1129.912366,2,1,1,1.674635138869119,1.7700487756233654,0.8373175694345595,0.8850243878116827,0.8373175694345595,0.8850243878116827
