STNAME,CSAFP,CSA,POPESTIMATE2019,area_km2,charging_locations,level2,dcfc,charging_locations_per_100kpeople,charging_locations_per_1000km2,level2_per_100kpeople,level2_per_1000km2,dcfc_per_100kpeople,dcfc_per_1000km2
South Dakota,NA,non-CSA,745040,187082.279499,27,53,34,3.6239664984430364,0.14432152565333867,7.113712015462258,0.2832978096158129,4.563513368409749,0.18173821748938943
Tennessee,174,"Chattanooga-Cleveland-Dalton, TN-GA",438430,3644.34258,51,107,19,11.632415664986429,13.994293588063282,24.405264238304863,29.36057674358375,4.333645051661611,5.213560356337301
Tennessee,297,"Jackson-Brownsville, TN",97984,1443.073936,6,7,11,6.123448726322665,4.157791122353137,7.144023514043108,4.850756309411993,11.226322664924885,7.622617057647419
Tennessee,304,"Johnson City-Kingsport-Bristol, TN-VA",418783,4543.5723339999995,15,33,8,3.581807284440868,3.3013670515936373,7.87997602576991,7.263007513506003,1.9102972183684628,1.7607290941832734
Tennessee,315,"Knoxville-Morristown-Sevierville, TN",988130,8025.094389,89,180,16,9.006912045985853,11.090212237502445,18.216226609859028,22.429642727533032,1.61922014309858,1.9937460202251587
Tennessee,362,"Martin-Union City, TN",33328,1503.107848,1,1,0,3.00048007681229,0.6652882568144238,3.00048007681229,0.6652882568144238,0,0
Tennessee,368,"Memphis-Forrest City, TN-MS-AR",937166,1977.610549,33,78,15,3.521254505605197,16.686804192406235,8.32296519506683,39.44153718205111,1.600570229820544,7.584910996548289
Tennessee,400,"Nashville-Davidson--Murfreesboro, TN",1866098,12930.456264,174,445,62,9.324269143421192,13.456601719804556,23.84655039553121,34.41487221444269,3.322440729265023,4.794881072574037
Tennessee,NA,non-CSA,2049255,72738.581278,39,73,34,1.9031306499191167,0.5361666300714015,3.5622701908742447,1.0035939485951875,1.6591395409551277,0.467427318523786
Texas,108,"Amarillo-Pampa-Borger, TX",255128,4714.61527,6,12,11,2.3517606848327115,1.2726383079822332,4.703521369665423,2.5452766159644664,4.311561255526637,2.333170231300761
Texas,154,"Brownsville-Harlingen-Raymondville, TX",423163,2309.34104,8,17,2,1.8905244551154046,3.4641916726167046,4.017364467120235,7.361407304310498,0.47263111377885114,0.8660479181541761
Texas,204,"Corpus Christi-Kingsville-Alice, TX",483214,6902.597012,18,46,8,3.725057634919518,2.607714164495976,9.519591733683214,6.664158420378605,1.6555811710753414,1.1589840731093226
Texas,206,"Dallas-Fort Worth, TX-OK",7697703,26484.925735,427,990,156,5.5471093129989555,16.1223786040569,12.860979437632238,37.3797536721694,2.026578578051141,5.8901430028872985
Texas,238,"El Paso-Las Cruces, TX-NM",839238,2624.29765,23,46,13,2.740581336879407,8.764249741259341,5.481162673758814,17.528499482518683,1.5490242338883606,4.953706375494411
Texas,288,"Houston-The Woodlands, TX",7121137,26106.023173,271,690,118,3.805572059630365,10.380746167431589,9.68946391566403,26.430682123718803,1.6570387565918197,4.5200296965200275
Texas,314,"Kerrville-Fredericksburg, TX",79588,5598.333078,10,21,4,12.564708247474494,1.7862459879883552,26.385887319696433,3.7511165747755464,5.025883298989798,0.7144983951953422
